id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
12718000,350000,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3053,50.8309015,4.726689,2023,132,,,3,USA_HYPER_EQUIPPED,0,0,1,8,0,0,0,1,AS_NEW,136,B,GAS,1,
34764000,204000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,50.856158,4.3540007,,30,,,1,HYPER_EQUIPPED,0,0,0,0,0,0,0,1,MISSING,,MISSING,MISSING,1,
24908000,280000,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7100,,,,125,451,4,3,INSTALLED,0,0,1,40,1,310,0,1,MISSING,,MISSING,GAS,1,
68923000,477000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,50.8654677,4.3437172,,110,,4,2,HYPER_EQUIPPED,0,0,1,10,0,0,0,1,AS_NEW,,MISSING,MISSING,0,
50446000,285000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1030,,,1972,90,,2,2,MISSING,0,0,0,0,0,0,0,0,GOOD,192,D,GAS,1,
63658000,275000,APARTMENT,SERVICE_FLAT,Flanders,West Flanders,Veurne,8670,51.1317571,2.6708717,2019,62,,,1,MISSING,0,0,0,0,0,0,0,0,MISSING,61,A,MISSING,0,
16281000,499000,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9000,51.0409655,3.7215817,1969,121,,2,3,HYPER_EQUIPPED,0,1,1,9,0,0,0,0,JUST_RENOVATED,141,B,GAS,1,1549
38527000,309000,APARTMENT,GROUND_FLOOR,Brussels-Capital,Brussels,Brussels,1070,50.8473946,4.3331377,2023,90,,2,2,NOT_INSTALLED,0,0,1,28,1,68,0,1,MISSING,,MISSING,GAS,1,
20639000,195000,APARTMENT,FLAT_STUDIO,Flanders,Flemish Brabant,Leuven,3000,50.8761032,4.7130293,2008,20,,3,0,MISSING,0,0,0,0,0,0,0,0,MISSING,183,B,GAS,1,1
3430000,370000,HOUSE,HOUSE,Flanders,West Flanders,Kortrijk,8570,50.8473701,3.439605,,166,287,3,3,MISSING,0,0,0,0,0,0,0,0,MISSING,,A,MISSING,1,
6443000,1195000,APARTMENT,PENTHOUSE,Flanders,East Flanders,Sint-Niklaas,9140,51.1224199,4.2078267,2010,196,,,2,MISSING,0,0,1,26,0,0,0,1,GOOD,148,B,MISSING,0,1671
42976000,599000,HOUSE,HOUSE,Wallonia,Liège,Huy,4550,50.5027646,5.4074957,1990,361,1634,4,4,INSTALLED,0,0,1,25,0,0,0,1,GOOD,189,C,FUELOIL,1,
16737000,258000,HOUSE,HOUSE,Flanders,West Flanders,Diksmuide,8650,50.975841,2.9366723,2022,134,268,3,3,MISSING,0,0,0,0,0,0,0,0,GOOD,,MISSING,MISSING,0,
69571000,449500,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8020,51.110049,3.2277006,,146,326,3,4,MISSING,0,0,1,,0,0,0,1,GOOD,21,A,GAS,1,667
29956000,300000,HOUSE,MIXED_USE_BUILDING,Wallonia,Walloon Brabant,Nivelles,1420,50.6834325,4.3702158,1874,180,110,2,2,NOT_INSTALLED,0,0,0,0,0,0,0,1,TO_RENOVATE,483,F,MISSING,0,1812
54413000,519350,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3360,50.8608421,4.7833648,,159,610,,3,INSTALLED,0,0,0,0,1,,0,0,MISSING,0,MISSING,GAS,1,
14027000,265000,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2500,51.1343395,4.5700155,2017,,,,2,INSTALLED,0,0,1,,0,0,0,0,MISSING,80,A,GAS,1,
48956000,537772,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9320,50.924436,4.0099804,2024,175,284,,3,INSTALLED,0,0,0,0,0,0,0,0,GOOD,,MISSING,MISSING,1,
58071000,295000,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2570,51.089761,4.4951677,,81,,4,2,INSTALLED,0,1,1,7,1,47,0,1,MISSING,,MISSING,MISSING,1,
73057000,160000,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7100,50.4479729,4.1458901,,193,0,3,2,MISSING,0,0,1,,0,0,0,1,MISSING,492,F,MISSING,1,
12158000,299000,HOUSE,OTHER_PROPERTY,Wallonia,Liège,Liège,4020,50.6370773,5.578171,,224,140,2,3,MISSING,0,0,0,0,0,0,0,1,TO_BE_DONE_UP,327,D,MISSING,1,1115
50410000,239230,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5000,50.4663683,4.8714176,,73,,,1,MISSING,0,0,1,7,0,0,0,1,AS_NEW,85,A,MISSING,0,
13462000,435500,APARTMENT,APARTMENT,Flanders,Limburg,Tongeren,3620,50.8869387,5.6452739,2022,134,,2,2,INSTALLED,0,0,1,32,1,14,0,0,AS_NEW,36.6,A,MISSING,1,
41845000,209000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,50.8487125,4.3040402,1976,81,,2,2,INSTALLED,0,0,1,6,0,0,0,0,AS_NEW,229,E,FUELOIL,1,
4886000,345162,HOUSE,HOUSE,Flanders,Limburg,Hasselt,3800,50.8019192,5.2202655,2020,183,150,,4,INSTALLED,0,0,0,0,1,,0,0,MISSING,0,MISSING,GAS,1,
7157000,1250000,HOUSE,HOUSE,Wallonia,Walloon Brabant,Nivelles,1440,,,1995,471,2185,6,3,USA_HYPER_EQUIPPED,0,1,1,65,1,1,1,1,AS_NEW,255,C,FUELOIL,1,3270
57657000,125000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7340,,,,130,0,2,2,MISSING,0,1,1,,0,0,0,1,MISSING,284,D,GAS,1,
56660000,265000,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2159367,2.892218,2022,88,,,2,MISSING,0,0,1,8,0,0,0,0,GOOD,,MISSING,MISSING,0,
23620000,277500,APARTMENT,APARTMENT,Wallonia,Luxembourg,Bastogne,6600,50.0084717,5.7223809,,,,,2,MISSING,0,1,1,13,0,0,0,0,MISSING,84,A,GAS,0,
4205000,305000,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1600,50.7939942,4.2842308,2016,90,,4,3,INSTALLED,0,1,1,30,0,0,0,1,GOOD,121,B,GAS,0,1279
55105000,490000,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3080,50.8310852,4.4333877,,,,2,2,MISSING,0,0,0,0,0,0,0,1,AS_NEW,,MISSING,GAS,0,
27911000,375000,HOUSE,VILLA,Wallonia,Hainaut,Ath,7800,50.5823419,3.7167355,,180,1634,4,3,SEMI_EQUIPPED,0,1,1,,0,0,0,1,TO_BE_DONE_UP,240,C,FUELOIL,1,
36383000,339000,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1601,50.7844168,4.286948,,130,136,2,3,HYPER_EQUIPPED,0,0,1,,1,25,0,1,AS_NEW,274,C,GAS,1,
65403000,329920,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7021,50.4555891,4.0431851,,187,495,3,3,MISSING,0,0,0,0,0,0,0,1,MISSING,,A++,ELECTRIC,0,
