,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
61269,13480000,475000.0,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9190,51.2393513,4.0410418,1992.0,112.0,658.0,4.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,,MISSING,MISSING,0,,,left_only
61276,11211000,475000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1700,,,1999.0,254.0,623.0,3.0,3.0,INSTALLED,0,1,1,,1,452.0,0,1,GOOD,206.0,C,GAS,1,1556.0,,left_only
61287,55700000,475000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3000,50.8833027,4.6896602,1948.0,192.0,72.0,,3.0,MISSING,0,0,1,18.0,0,0.0,0,1,MISSING,354.0,D,GAS,1,743.0,,left_only
61337,57393000,475000.0,HOUSE,HOUSE,Wallonia,Walloon Brabant,Nivelles,1300,50.7148831,4.6056766,1920.0,190.0,210.0,2.0,4.0,HYPER_EQUIPPED,0,0,1,30.0,1,160.0,0,0,AS_NEW,,D,GAS,1,1700.0,,left_only
61380,58809000,475000.0,HOUSE,VILLA,Flanders,Antwerp,Antwerp,2540,51.1463632,4.4705703,1961.0,127.0,489.0,4.0,3.0,SEMI_EQUIPPED,0,1,0,0.0,0,0.0,0,0,TO_BE_DONE_UP,785.0,F,GAS,1,946.0,,left_only
61395,49562000,475000.0,HOUSE,VILLA,Flanders,Limburg,Hasselt,3500,50.9297871,5.3552834,1995.0,245.0,532.0,3.0,4.0,NOT_INSTALLED,0,1,0,0.0,0,0.0,0,0,GOOD,178.0,B,GAS,1,1370.0,,left_only
61435,62766000,475663.0,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7861,,,,172.0,1398.0,,3.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,1,GOOD,,MISSING,GAS,1,,,left_only
61439,1559000,475900.0,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1410,,,2022.0,102.0,,3.0,2.0,HYPER_EQUIPPED,0,0,1,16.0,1,150.0,0,0,MISSING,96.0,B,MISSING,0,,,left_only
61449,11564000,476150.0,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1410,50.7115297,4.3551238,2022.0,,,,3.0,USA_HYPER_EQUIPPED,0,0,1,16.0,0,0.0,0,1,AS_NEW,,MISSING,GAS,1,,,left_only
61472,58272000,476844.0,HOUSE,HOUSE,Flanders,West Flanders,Kortrijk,8540,50.8404384,3.3581372,,,436.0,4.0,4.0,MISSING,0,0,1,,0,0.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
61474,62576000,476900.0,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9420,50.9158414,3.9588473,,,500.0,3.0,3.0,MISSING,0,0,1,,0,0.0,0,1,AS_NEW,131.0,B,MISSING,0,,,left_only
61500,4460000,477865.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7370,,,,195.0,856.0,,3.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,1,GOOD,,MISSING,GAS,1,,,left_only
61528,43572000,479000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,50.8646637,4.3429936,,110.0,,4.0,2.0,HYPER_EQUIPPED,0,0,1,10.0,0,0.0,0,1,AS_NEW,,MISSING,MISSING,0,,,left_only
61562,29067000,479000.0,APARTMENT,GROUND_FLOOR,Flanders,East Flanders,Aalst,9300,50.9381757,4.0255795,,150.0,,,3.0,MISSING,0,0,1,30.0,0,0.0,0,1,GOOD,9.0,A,GAS,1,1134.0,,left_only
61595,74220000,479000.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2200,51.1870927,4.8484777,1991.0,180.0,1440.0,4.0,3.0,INSTALLED,0,0,1,150.0,1,680.0,1,0,AS_NEW,160.0,B,GAS,1,,,left_only
61603,58505000,479000.0,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9300,,,2010.0,210.0,0.0,2.0,5.0,USA_HYPER_EQUIPPED,0,0,1,29.0,1,77.0,0,1,AS_NEW,96.0,A,GAS,1,1230.0,,left_only
61610,72838000,479000.0,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9500,50.8186827,3.8837247,1949.0,339.0,937.0,3.0,4.0,MISSING,0,0,1,72.0,0,0.0,1,0,AS_NEW,134.0,B,MISSING,1,672.0,,left_only
61632,58131000,479000.0,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8400,51.2083318,2.8889962,,198.0,242.0,4.0,3.0,MISSING,0,0,0,0.0,1,167.0,0,1,GOOD,,A,MISSING,1,,,left_only
61634,22687000,479000.0,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8400,51.211095,2.9296624,1975.0,267.0,354.0,4.0,4.0,MISSING,0,0,0,0.0,1,274.0,0,1,GOOD,208.0,C,MISSING,1,1254.0,,left_only
61681,21140000,479500.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1933,50.8658558,4.5146056,,123.0,,,3.0,MISSING,0,1,1,12.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
61687,74399000,479810.0,HOUSE,HOUSE,Flanders,West Flanders,Kortrijk,8530,,,,246.0,550.0,3.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
61694,30546000,480000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1040,,,2000.0,92.0,,2.0,2.0,HYPER_EQUIPPED,0,0,1,7.0,0,0.0,0,0,AS_NEW,113.0,C,MISSING,1,,,left_only
61719,8602000,480000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,8660,51.1063398,2.5978411,2023.0,,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,,MISSING,GAS,1,,,left_only
61727,56325000,480000.0,APARTMENT,DUPLEX,Wallonia,Liège,Liège,4000,50.6352241,5.5692097,,182.0,,2.0,4.0,MISSING,0,0,1,3.0,0,0.0,0,0,TO_BE_DONE_UP,161.0,B,GAS,0,2245.0,,left_only
61793,24302000,480000.0,HOUSE,HOUSE,Flanders,West Flanders,Kortrijk,8560,50.8102575,3.1820535,,270.0,330.0,2.0,4.0,INSTALLED,0,0,1,50.0,1,170.0,0,1,GOOD,222.0,C,GAS,0,637.0,,left_only
61794,28005000,480000.0,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8450,51.2273098,2.9658132,2023.0,193.0,524.0,4.0,3.0,HYPER_EQUIPPED,0,0,1,,0,0.0,0,1,AS_NEW,,MISSING,MISSING,1,,,left_only
61801,44304000,480000.0,HOUSE,HOUSE,Wallonia,Walloon Brabant,Nivelles,1300,,,1975.0,324.0,1279.0,4.0,5.0,MISSING,0,1,0,0.0,1,,0,1,TO_RENOVATE,441.0,F,MISSING,1,2724.0,,left_only
61803,78094000,480000.0,HOUSE,HOUSE,Wallonia,Walloon Brabant,Nivelles,1315,,,1998.0,180.0,1140.0,4.0,4.0,HYPER_EQUIPPED,0,0,1,24.0,1,1.0,0,1,GOOD,240.0,C,FUELOIL,1,,,left_only
61820,44059000,480000.0,HOUSE,VILLA,Flanders,West Flanders,Kortrijk,8791,50.8794715,3.353154,,,953.0,,3.0,MISSING,0,1,0,0.0,1,,0,1,MISSING,,MISSING,MISSING,0,,,left_only
